Address;Name;Goodput;Delay
127.0.0.1;Bulk_0;15.15151596069336;66.0
127.0.0.1;Bulk_0;8.928571701049805;112.0
127.0.0.1;Bulk_0;25.64102554321289;39.0
127.0.0.1;Bulk_0;11.36363697052002;88.0
127.0.0.1;Bulk_0;18.867923736572266;53.0
127.0.0.1;Bulk_0;11.764705657958984;85.0
127.0.0.1;Bulk_0;16.393444061279297;61.0
127.0.0.1;Bulk_0;12.195121765136719;82.0
127.0.0.1;Bulk_0;90.90909576416016;11.0
127.0.0.1;Bulk_0;13.698630332946777;73.0
127.0.0.1;Bulk_0;15.384614944458008;65.0
127.0.0.1;Bulk_0;20.0;50.0
127.0.0.1;Bulk_0;12.195121765136719;82.0
127.0.0.1;Bulk_0;14.492753982543945;69.0
127.0.0.1;Bulk_0;8.928571701049805;112.0
127.0.0.1;Bulk_0;14.08450698852539;71.0
127.0.0.1;Bulk_0;21.7391300201416;46.0
127.0.0.1;Bulk_0;12.658227920532227;79.0
