Time;Address;Goodput;Delay
34270;localhost;0,0000;NaN
34321;localhost;0,0000;NaN
34372;localhost;0,0000;NaN
34422;localhost;0,0000;NaN
34473;localhost;0,0000;NaN
34523;localhost;0,0000;NaN
34574;localhost;0,0000;NaN
34624;localhost;0,0000;NaN
34675;localhost;0,0000;NaN
34726;localhost;0,0000;NaN
34776;localhost;0,0000;NaN
34826;localhost;0,0000;NaN
34877;localhost;0,0000;NaN
34927;localhost;0,0000;NaN
34978;localhost;0,0000;NaN
35029;localhost;0,0000;NaN
35079;localhost;0,0000;NaN
35130;localhost;0,0000;NaN
35180;localhost;0,0000;NaN
35231;localhost;0,0000;NaN
35282;localhost;0,0000;NaN
35332;localhost;0,0000;NaN
35383;localhost;0,0000;NaN
35433;localhost;0,0000;NaN
35484;localhost;0,0000;NaN
35534;localhost;0,0000;NaN
35585;localhost;0,0000;NaN
35635;localhost;0,0000;NaN
35686;localhost;0,0000;NaN
35737;localhost;0,0000;NaN
35787;localhost;0,0000;NaN
35838;localhost;0,0000;NaN
35889;localhost;0,0000;NaN
35939;localhost;0,0000;NaN
35990;localhost;0,0000;NaN
36040;localhost;0,0000;NaN
36091;localhost;0,0000;NaN
36141;localhost;0,0000;NaN
36191;localhost;0,0000;NaN
36242;localhost;0,0000;NaN
36293;localhost;0,0000;NaN
36343;localhost;0,0000;NaN
36394;localhost;0,0000;NaN
36444;localhost;0,0000;NaN
36495;localhost;0,0000;NaN
36546;localhost;0,0000;NaN
36596;localhost;0,0000;NaN
36647;localhost;0,0000;NaN
36697;localhost;0,0000;NaN
36748;localhost;0,0000;NaN
36798;localhost;0,0000;NaN
36849;localhost;0,0000;NaN
36899;localhost;0,0000;NaN
36950;localhost;0,0000;NaN
37000;localhost;0,0000;NaN
37051;localhost;0,0000;NaN
37101;localhost;0,0000;NaN
37152;localhost;0,0000;NaN
37203;localhost;0,0000;NaN
37253;localhost;0,0000;NaN
37303;localhost;0,0000;NaN
37354;localhost;0,0000;NaN
37404;localhost;0,0000;NaN
37455;localhost;0,0000;NaN
37505;localhost;0,0000;NaN
37556;localhost;0,0000;NaN
37607;localhost;0,0000;NaN
37657;localhost;0,0000;NaN
37708;localhost;0,0000;NaN
37758;localhost;0,0000;NaN
37809;localhost;0,0000;NaN
37859;localhost;0,0000;NaN
37910;localhost;0,0000;NaN
37960;localhost;0,0000;NaN
38011;localhost;0,0000;NaN
38061;localhost;0,0000;NaN
38112;localhost;0,0000;NaN
38163;localhost;0,0000;NaN
38213;localhost;0,0000;NaN
38264;localhost;0,0000;NaN
38314;localhost;0,0000;NaN
38365;localhost;0,0000;NaN
38415;localhost;0,0000;NaN
38466;localhost;0,0000;NaN
38517;localhost;0,0000;NaN
38567;localhost;0,0000;NaN
38618;localhost;0,0000;NaN
38669;localhost;0,0000;NaN
38719;localhost;0,0000;NaN
38770;localhost;0,0000;NaN
38820;localhost;0,0000;NaN
38871;localhost;0,0000;NaN
38921;localhost;0,0000;NaN
38972;localhost;0,0000;NaN
39022;localhost;0,0000;NaN
39073;localhost;0,0000;NaN
39123;localhost;0,0000;NaN
39174;localhost;0,0000;NaN
39224;localhost;0,0000;NaN
39275;localhost;0,0000;NaN
39325;localhost;0,0000;NaN
39376;localhost;0,0000;NaN
39427;localhost;0,0000;NaN
39477;localhost;0,0000;NaN
39527;localhost;0,0000;NaN
39578;localhost;0,0000;NaN
39629;localhost;0,0000;NaN
39679;localhost;0,0000;NaN
39730;localhost;0,0000;NaN
39780;localhost;0,0000;NaN
39831;localhost;0,0000;NaN
39881;localhost;0,0000;NaN
39932;localhost;0,0000;NaN
39982;localhost;0,0000;NaN
40033;localhost;0,0000;NaN
40083;localhost;0,0000;NaN
40134;localhost;0,0000;NaN
40185;localhost;0,0000;NaN
40235;localhost;0,0000;NaN
40286;localhost;0,0000;NaN
40337;localhost;0,0000;NaN
40387;localhost;0,0000;NaN
40438;localhost;0,0000;NaN
40488;localhost;0,0000;NaN
40539;localhost;0,0000;NaN
40589;localhost;0,0000;NaN
40640;localhost;0,0000;NaN
40690;localhost;0,0000;NaN
40741;localhost;0,0000;NaN
40791;localhost;0,0000;NaN
40842;localhost;0,0000;NaN
40892;localhost;0,0000;NaN
40943;localhost;0,0000;NaN
40993;localhost;0,0000;NaN
41044;localhost;0,0000;NaN
41094;localhost;0,0000;NaN
41145;localhost;0,0000;NaN
41195;localhost;0,0000;NaN
41246;localhost;0,0000;NaN
41296;localhost;0,0000;NaN
41347;localhost;0,0000;NaN
41398;localhost;0,0000;NaN
41448;localhost;0,0000;NaN
41499;localhost;0,0000;NaN
41549;localhost;0,0000;NaN
41600;localhost;0,0000;NaN
41651;localhost;0,0000;NaN
41701;localhost;0,0000;NaN
41752;localhost;0,0000;NaN
41803;localhost;0,0000;NaN
41853;localhost;0,0000;NaN
41904;localhost;0,0000;NaN
41954;localhost;0,0000;NaN
42005;localhost;0,0000;NaN
42056;localhost;0,0000;NaN
42106;localhost;0,0000;NaN
42157;localhost;0,0000;NaN
42207;localhost;0,0000;NaN
42258;localhost;0,0000;NaN
42308;localhost;0,0000;NaN
42359;localhost;0,0000;NaN
42409;localhost;0,0000;NaN
42460;localhost;0,0000;NaN
42511;localhost;0,0000;NaN
42561;localhost;0,0000;NaN
42611;localhost;0,0000;NaN
42662;localhost;0,0000;NaN
42713;localhost;0,0000;NaN
42763;localhost;0,0000;NaN
42814;localhost;0,0000;NaN
42864;localhost;0,0000;NaN
42915;localhost;0,0000;NaN
42966;localhost;0,0000;NaN
43016;localhost;0,0000;NaN
43067;localhost;0,0000;NaN
43117;localhost;0,0000;NaN
43168;localhost;0,0000;NaN
43219;localhost;0,0000;NaN
43269;localhost;0,0000;NaN
43320;localhost;0,0000;NaN
43371;localhost;0,0000;NaN
43421;localhost;0,0000;NaN
43472;localhost;0,0000;NaN
43522;localhost;0,0000;NaN
43573;localhost;0,0000;NaN
43623;localhost;0,0000;NaN
43674;localhost;0,0000;NaN
43724;localhost;0,0000;NaN
43775;localhost;0,0000;NaN
43825;localhost;0,0000;NaN
43876;localhost;0,0000;NaN
43926;localhost;0,0000;NaN
43977;localhost;0,0000;NaN
44027;localhost;0,0000;NaN
44078;localhost;0,0000;NaN
44129;localhost;0,0000;NaN
44179;localhost;0,0000;NaN
44230;localhost;0,0000;NaN
44280;localhost;0,0000;NaN
44331;localhost;0,0000;NaN
44382;localhost;0,0000;NaN
44432;localhost;0,0000;NaN
44483;localhost;0,0000;NaN
44533;localhost;0,0000;NaN
44584;localhost;0,0000;NaN
44634;localhost;0,0000;NaN
44685;localhost;0,0000;NaN
44735;localhost;0,0000;NaN
44786;localhost;0,0000;NaN
44836;localhost;0,0000;NaN
44887;localhost;0,0000;NaN
44937;localhost;0,0000;NaN
44988;localhost;0,0000;NaN
45038;localhost;0,0000;NaN
45089;localhost;0,0000;NaN
45139;localhost;0,0000;NaN
45190;localhost;0,0000;NaN
45240;localhost;0,0000;NaN
45291;localhost;0,0000;NaN
45341;localhost;0,0000;NaN
